epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94234,2.56941,4.2896,1.52108,0.00263,0.27865,0.00847,0.00249,1.36174,3.37375,1.47359,1.429e-05,1.429e-05,1.429e-05
2,9.36885,2.95245,4.31581,1.63589,0.00263,0.27865,0.01399,0.00318,1.34527,3.35736,1.46265,4.26578e-05,4.26578e-05,4.26578e-05
3,10.6333,2.39706,4.24429,1.36583,0.00264,0.27865,0.01138,0.00298,1.32119,3.34137,1.44589,7.07426e-05,7.07426e-05,7.07426e-05
4,11.881,2.10001,4.18486,1.57442,0.00272,0.28103,0.01307,0.00326,1.34209,3.3426,1.45485,9.85446e-05,9.85446e-05,9.85446e-05
5,13.017,2.15771,4.16367,1.49451,0.00291,0.28341,0.00815,0.00273,1.34741,3.32926,1.47443,0.000126064,0.000126064,0.000126064
6,14.2023,2.20284,4.01603,1.3387,0.00317,0.29022,0.00849,0.00272,1.36215,3.33031,1.55441,0.0001533,0.0001533,0.0001533
7,15.3468,1.97551,3.73315,1.25822,0.0033,0.29702,0.01137,0.0032,1.45334,3.34991,1.59175,0.000180253,0.000180253,0.000180253
8,16.4734,2.05038,3.45841,1.24086,0.00363,0.31811,0.00957,0.00264,1.5767,3.36853,1.71611,0.000206923,0.000206923,0.000206923
9,17.5623,1.86061,3.30852,1.21645,0.00368,0.33171,0.00732,0.00249,1.62481,3.35556,1.78034,0.00023331,0.00023331,0.00023331
10,18.6578,2.40047,2.98,1.18463,0.00362,0.32933,0.01607,0.0054,1.53656,3.33632,1.68377,0.000259414,0.000259414,0.000259414
11,19.7391,1.80568,2.74238,1.17285,0.00401,0.35518,0.04393,0.02187,1.484,3.31638,1.66244,0.000285236,0.000285236,0.000285236
12,20.7974,1.96206,2.71658,1.12963,0.0054,0.43375,0.10228,0.04373,1.36426,3.27423,1.56451,0.000310774,0.000310774,0.000310774
13,21.8745,2.09544,2.32446,1.245,0.00578,0.46641,0.12378,0.04957,1.34425,3.2303,1.54871,0.000336029,0.000336029,0.000336029
14,22.9292,1.84606,2.11086,1.07222,1,0.02496,0.16844,0.06614,1.2606,3.18625,1.48555,0.000361002,0.000361002,0.000361002
15,23.9614,1.9811,2.51299,1.09158,0.99147,0.09067,0.18728,0.09385,1.26096,3.14847,1.52777,0.000385691,0.000385691,0.000385691
16,25.0258,1.66978,2.04547,1.07539,0.96514,0.10194,0.20072,0.10173,1.30462,3.14247,1.61681,0.000410098,0.000410098,0.000410098
17,26.0919,1.96872,1.87946,1.102,0.98767,0.09524,0.24348,0.1124,1.52555,3.16,2.02194,0.000434222,0.000434222,0.000434222
18,27.1408,1.64465,1.72588,1.04654,0.98506,0.05077,0.2775,0.13103,1.73668,3.20215,2.54634,0.000458062,0.000458062,0.000458062
19,28.2153,1.62314,1.55485,1.09061,0.98197,0.05051,0.27964,0.13845,1.95892,3.24964,2.91762,0.00048162,0.00048162,0.00048162
20,29.2841,1.82029,1.88704,1.05054,0.96362,0.03158,0.25887,0.12906,2.20513,3.30561,3.32911,0.000504895,0.000504895,0.000504895
21,30.3174,1.77708,1.77833,1.06902,0.89305,0.01755,0.21469,0.11612,2.53152,3.32288,4.05246,0.000527887,0.000527887,0.000527887
22,31.3461,1.68955,1.66046,1.22178,0.95418,0.03222,0.20548,0.11875,2.90157,3.40227,4.39952,0.000550596,0.000550596,0.000550596
23,32.3713,1.74021,1.53334,1.06598,0.97511,0.04807,0.23367,0.13018,3.23787,3.46015,5.0277,0.000573022,0.000573022,0.000573022
24,33.3869,1.65123,1.45961,1.083,0.97151,0.07035,0.27013,0.14738,3.42968,3.47259,5.29095,0.000595165,0.000595165,0.000595165
25,34.4412,1.48773,1.58766,1.05938,0.96426,0.08804,0.29694,0.15357,3.48222,3.50626,5.29502,0.000617025,0.000617025,0.000617025
26,35.4671,1.59997,1.46787,1.06349,0.64965,0.07527,0.30742,0.1655,3.64629,3.50444,5.32964,0.000638602,0.000638602,0.000638602
27,36.51,1.55803,1.44277,1.09441,0.69441,0.14525,0.31243,0.15559,3.59298,3.54999,4.58376,0.000659896,0.000659896,0.000659896
